1,2,1,0.090929
1,2,3,0.070611
1,2,7,0.07551
1,2,9,0.077416
1,2,11,0.096095
1,2,13,0.164402
1,2,15,0.765536
1,4,1,0.069693
1,4,3,0.070701
1,4,7,0.070822
1,4,9,0.072848
1,4,11,0.088356
1,4,13,0.240294
1,4,15,0.737628
1,8,1,0.069996
1,8,3,0.072101
1,8,7,0.078221
1,8,9,0.106854
1,8,11,0.207883
1,8,13,0.620847
1,8,15,2.25815
1,10,1,0.071455
1,10,3,0.07184
1,10,7,0.102822
1,10,9,0.198938
1,10,11,0.565069
1,10,13,2.0459
1,10,15,8.06764
1,12,1,0.081113
1,12,3,0.081875
1,12,7,0.200691
1,12,9,0.566731
1,12,11,2.01896
1,12,13,7.80838
1,12,15,69.9806
1,14,1,0.103606
1,14,3,0.125314
1,14,7,0.739374
1,14,9,2.70283
1,14,11,13.4528
1,14,13,62.3605
1,14,15,279.068
