1,2,1,0.093896
1,2,3,0.069154
1,2,7,0.070777
1,2,9,0.06981
1,2,11,0.072901
1,2,13,0.073173
1,2,15,0.095832
1,4,1,0.069324
1,4,3,0.070952
1,4,7,0.069904
1,4,9,0.071575
1,4,11,0.072703
1,4,13,0.087263
1,4,15,0.131991
1,8,1,0.070824
1,8,3,0.071167
1,8,7,0.074421
1,8,9,0.082439
1,8,11,0.121863
1,8,13,0.26175
1,8,15,0.816204
1,10,1,0.071589
1,10,3,0.071225
1,10,7,0.086697
1,10,9,0.132471
1,10,11,0.264741
1,10,13,0.781208
1,10,15,2.86656
1,12,1,0.069869
1,12,3,0.073334
1,12,7,0.117925
1,12,9,0.245266
1,12,11,0.768174
1,12,13,2.80967
1,12,15,13.5416
1,14,1,0.082433
1,14,3,0.083523
1,14,7,0.250482
1,14,9,0.773349
1,14,11,2.89306
1,14,13,14.2221
1,14,15,132.167
